FID,OBJECTID,Join_Count,osm_id,BUFF_DIST,Shape_Leng
85,139,13,50892037,25.000000000000000,0.001527554683760
86,140,12,50892039,25.000000000000000,0.001527554683760
87,141,5,50892043,25.000000000000000,0.001527605180060
88,142,7,51081569,25.000000000000000,0.001527666090980
89,143,2,51081575,25.000000000000000,0.001527783069770
90,144,9,51081576,25.000000000000000,0.001527838040440
91,145,8,51209732,25.000000000000000,0.001527249021250
92,146,1,51209733,25.000000000000000,0.001527474945290
93,147,5,51209734,25.000000000000000,0.001527494213480
94,148,3,51404404,25.000000000000000,0.001527617391370
95,149,1,51404406,25.000000000000000,0.001527525464740
96,163,1,51816664,25.000000000000000,0.001527183090940
97,164,6,51816710,25.000000000000000,0.001527185365370
98,165,3,51816762,25.000000000000000,0.001527175367170
99,167,4,51816784,25.000000000000000,0.001527202655450
100,168,1,51816786,25.000000000000000,0.001527179539290
101,169,4,51816810,25.000000000000000,0.001527185365370
102,170,1,51816811,25.000000000000000,0.001527183090940
103,171,4,51816814,25.000000000000000,0.001527185365370
104,181,29,55211502,25.000000000000000,0.001527190571780
105,182,13,55211795,25.000000000000000,0.001527528068660
106,183,11,55211816,25.000000000000000,0.001527458695420
107,184,12,55211974,25.000000000000000,0.001527510444520
108,185,6,55212063,25.000000000000000,0.001527413402030
109,186,9,55212403,25.000000000000000,0.001527542749630
110,187,21,55455485,25.000000000000000,0.001527672967730
111,191,29,58871382,25.000000000000000,0.001527577678210
112,193,2,66527001,25.000000000000000,0.001526311811960
113,194,3,66527005,25.000000000000000,0.001526427965890
114,201,12,70175038,25.000000000000000,0.001526402409450
115,202,7,70203362,25.000000000000000,0.001526710394060
116,203,2,70203374,25.000000000000000,0.001526899860840
117,204,6,70203381,25.000000000000000,0.001526936822350
118,205,12,70203401,25.000000000000000,0.001526854200020
119,206,12,70203940,25.000000000000000,0.001526391953880
120,207,5,70203942,25.000000000000000,0.001526466442610
121,208,4,70203946,25.000000000000000,0.001526401180090
122,209,7,70203947,25.000000000000000,0.001526384800140
123,211,2,70203951,25.000000000000000,0.001526458952400
124,215,6,72210395,25.000000000000000,0.001528023090600
125,230,26,76834972,25.000000000000000,0.001526983303210
126,231,3,76835078,25.000000000000000,0.001526544344150
127,253,17,77765243,25.000000000000000,0.001528091781070
128,254,8,77765247,25.000000000000000,0.001528005414940
129,303,18,79581686,25.000000000000000,0.001528147654320
130,306,9,79581695,25.000000000000000,0.001527766009960
131,307,21,79581703,25.000000000000000,0.001528009296660
132,313,8,79636830,25.000000000000000,0.001526946998800
133,332,5,84246296,25.000000000000000,0.001526948527960
134,333,1,84250286,25.000000000000000,0.001527025984070
135,334,5,84250290,25.000000000000000,0.001526994512270
136,335,3,87236321,25.000000000000000,0.001527431209000
137,336,7,87236322,25.000000000000000,0.001527402072920
138,338,14,87236324,25.000000000000000,0.001527411469610
139,339,1,87236326,25.000000000000000,0.001527407613290
140,340,1,87236327,25.000000000000000,0.001527429614690
141,341,1,87236328,25.000000000000000,0.001527407613290
142,342,7,87236329,25.000000000000000,0.001527402072920
143,352,15,97049435,25.000000000000000,0.001526809684780
144,354,2,97053047,25.000000000000000,0.001526397209220
145,355,4,97053049,25.000000000000000,0.001526457493590
146,356,1,97053052,25.000000000000000,0.001526432678070
147,357,3,97053053,25.000000000000000,0.001526400181790
148,360,3,97053059,25.000000000000000,0.001526435455480
149,364,3,97055884,25.000000000000000,0.001526449351660
150,367,1,97055892,25.000000000000000,0.001526412071330
151,368,1,97055893,25.000000000000000,0.001526412077360
152,369,14,97055896,25.000000000000000,0.001526315611460
153,370,2,97055902,25.000000000000000,0.001526418217590
154,371,4,97056368,25.000000000000000,0.001526747841510
155,372,8,97056531,25.000000000000000,0.001526741492700
156,373,1,97056532,25.000000000000000,0.001526730727360
157,374,1,97056721,25.000000000000000,0.001526760478530
158,375,9,97057000,25.000000000000000,0.001526730079100
159,376,3,97057001,25.000000000000000,0.001526768295730
160,377,3,97057422,25.000000000000000,0.001526792608870
161,378,2,97057937,25.000000000000000,0.001526730079100
162,379,1,97057938,25.000000000000000,0.001526724356130
163,380,8,97057972,25.000000000000000,0.001526738045500
164,381,5,97079457,25.000000000000000,0.001526760059060
165,382,5,97080595,25.000000000000000,0.001526743423390
166,385,1,97092797,25.000000000000000,0.001526412205940
167,386,1,97094215,25.000000000000000,0.001526411013280
168,387,4,97094216,25.000000000000000,0.001526426354540
169,388,1,97094222,25.000000000000000,0.001526391218310
170,389,2,97094339,25.000000000000000,0.001526440172330
171,390,3,97094341,25.000000000000000,0.001526440372790
172,391,9,97189786,25.000000000000000,0.001526478625770
173,504,1,98327261,25.000000000000000,0.001526608850850
174,505,28,98327266,25.000000000000000,0.001526665111540
175,506,3,98327275,25.000000000000000,0.001526780186930
176,507,5,98327280,25.000000000000000,0.001526865009180
177,508,7,98327282,25.000000000000000,0.001526826423710
178,511,2,98327290,25.000000000000000,0.001526746860150
179,512,10,98327294,25.000000000000000,0.001526840462150
180,513,2,98327296,25.000000000000000,0.001526628172000
181,524,8,98572392,25.000000000000000,0.001526303491450
182,525,19,98572394,25.000000000000000,0.001526354305370
183,526,47,98572396,25.000000000000000,0.001526466233350
184,527,1,98582973,25.000000000000000,0.001526382770020
185,528,5,98582975,25.000000000000000,0.001526382770020
186,529,1,98582976,25.000000000000000,0.001526412501080
187,530,1,98582978,25.000000000000000,0.001526441869990
188,532,2,98582980,25.000000000000000,0.001526378888940
189,533,3,98582981,25.000000000000000,0.001526407366340
190,534,2,98582982,25.000000000000000,0.001526403186720
191,535,6,98582983,25.000000000000000,0.001526426351760
192,536,1,98582984,25.000000000000000,0.001526390555270
193,537,1,98582985,25.000000000000000,0.001526397209220
194,538,1,98582986,25.000000000000000,0.001526403186720
195,539,1,98582987,25.000000000000000,0.001526395112480
196,540,1,98582988,25.000000000000000,0.001526412071330
197,541,11,98582989,25.000000000000000,0.001526480227980
198,542,1,98582990,25.000000000000000,0.001526436735820
199,544,4,98582994,25.000000000000000,0.001526422043980
200,545,16,98582997,25.000000000000000,0.001526345848960
201,546,1,98582998,25.000000000000000,0.001526440172330
202,547,16,98582999,25.000000000000000,0.001526412501020
203,548,1,98583000,25.000000000000000,0.001526445142450
204,549,4,98583001,25.000000000000000,0.001526391123590
205,550,11,98584143,25.000000000000000,0.001526654273800
206,554,3,98607114,25.000000000000000,0.001527156677410
207,557,5,98607117,25.000000000000000,0.001527156677410
208,649,5,98831403,25.000000000000000,0.001526748436780
209,652,1,98831406,25.000000000000000,0.001526741834500
210,653,1,98831408,25.000000000000000,0.001526702960970
211,654,2,98831410,25.000000000000000,0.001526743423390
212,655,2,98831411,25.000000000000000,0.001526769465450
213,656,3,98831413,25.000000000000000,0.001526720660520
214,659,1,98831417,25.000000000000000,0.001526761041410
215,660,2,98831421,25.000000000000000,0.001526741044120
216,661,3,98831422,25.000000000000000,0.001526741834500
217,662,4,98831423,25.000000000000000,0.001526718076500
218,663,5,98831425,25.000000000000000,0.001526767640470
219,664,2,98831426,25.000000000000000,0.001526761182040
220,665,5,98831427,25.000000000000000,0.001526762030860
221,666,4,98831428,25.000000000000000,0.001526718076500
222,667,2,98831429,25.000000000000000,0.001526722878670
223,668,1,98831432,25.000000000000000,0.001526741834500
224,670,4,98831434,25.000000000000000,0.001526760059060
225,671,1,98831435,25.000000000000000,0.001526720926820
226,672,1,98832170,25.000000000000000,0.001526797965240
227,673,8,98832171,25.000000000000000,0.001526759861110
228,674,3,98832172,25.000000000000000,0.001526712349260
229,675,3,98832174,25.000000000000000,0.001526764269020
230,676,5,98833431,25.000000000000000,0.001526716629570
231,677,9,98833432,25.000000000000000,0.001526754080560
232,678,1,98833492,25.000000000000000,0.001526737778200
233,679,1,98833498,25.000000000000000,0.001526727057020
234,680,12,98835213,25.000000000000000,0.001526306926510
235,681,3,98835215,25.000000000000000,0.001526303937700
236,682,2,98835216,25.000000000000000,0.001526303929810
237,683,2,98835217,25.000000000000000,0.001526303929810
238,685,2,98835219,25.000000000000000,0.001526296975070
239,686,5,98835221,25.000000000000000,0.001526318540800
240,687,10,98835222,25.000000000000000,0.001526365280210
241,689,42,98835224,25.000000000000000,0.001526283199290
242,690,3,98835291,25.000000000000000,0.001526313834230
243,691,3,98835293,25.000000000000000,0.001526310473500
244,695,1,98835620,25.000000000000000,0.001526360824240
245,698,7,98835796,25.000000000000000,0.001526306926510
246,699,4,98835797,25.000000000000000,0.001526311063150
247,714,2,98837265,25.000000000000000,0.001526426557200
248,732,1,98841635,25.000000000000000,0.001526412729360
249,733,2,98842740,25.000000000000000,0.001526406376470
250,735,1,98842747,25.000000000000000,0.001526401748490
251,737,2,98842757,25.000000000000000,0.001526440372790
252,739,8,98842768,25.000000000000000,0.001526378888940
253,740,4,98842776,25.000000000000000,0.001526406376470
254,741,3,98842782,25.000000000000000,0.001526445571590
255,744,1,98842794,25.000000000000000,0.001526418601620
256,745,1,98842796,25.000000000000000,0.001526444243750
257,747,1,98842799,25.000000000000000,0.001526445593130
258,750,1,98842993,25.000000000000000,0.001526437514190
259,761,1,98843981,25.000000000000000,0.001526448603580
260,767,41,98845192,25.000000000000000,0.001526466233350
261,768,3,98845193,25.000000000000000,0.001526480386270
262,769,1,98845194,25.000000000000000,0.001526443403350
263,770,1,98845195,25.000000000000000,0.001526468746970
264,772,15,98845198,25.000000000000000,0.001526470855640
265,773,3,98845200,25.000000000000000,0.001526480227980
266,776,1,98845203,25.000000000000000,0.001526471328060
267,777,1,98845204,25.000000000000000,0.001526420836100
268,779,2,98845206,25.000000000000000,0.001526422098770
269,780,3,98845207,25.000000000000000,0.001526559353110
270,782,14,98845209,25.000000000000000,0.001526470855640
271,786,1,98845213,25.000000000000000,0.001526438129720
272,787,2,98845214,25.000000000000000,0.001526439772820
273,788,1,98845216,25.000000000000000,0.001526467932950
274,795,1,98845805,25.000000000000000,0.001526433359850
275,799,1,98845810,25.000000000000000,0.001526433359850
276,801,6,98863367,25.000000000000000,0.001526353392780
277,802,1,98864711,25.000000000000000,0.001526461100190
278,803,1,98865269,25.000000000000000,0.001526762664220
279,806,2,98865282,25.000000000000000,0.001526729224270
280,807,1,98865823,25.000000000000000,0.001526749103660
281,810,4,98865831,25.000000000000000,0.001526744561510
282,811,9,98867844,25.000000000000000,0.001526840582330
283,812,7,98867857,25.000000000000000,0.001526765187510
284,813,1,98867863,25.000000000000000,0.001526695650850
285,814,1,98867879,25.000000000000000,0.001526774596410
286,815,7,98867882,25.000000000000000,0.001526794222830
287,816,1,98867885,25.000000000000000,0.001526765586970
288,817,1,98868561,25.000000000000000,0.001526742663400
289,818,1,98868565,25.000000000000000,0.001526742663400
290,819,1,98869007,25.000000000000000,0.001526742663400
291,822,7,98869685,25.000000000000000,0.001526771467860
292,825,4,98883956,25.000000000000000,0.001526633013550
293,826,1,98883958,25.000000000000000,0.001526672000020
294,827,24,98883960,25.000000000000000,0.001526711401970
295,829,6,98965437,25.000000000000000,0.001526818755710
296,830,9,98965439,25.000000000000000,0.001526771307870
297,833,2,98978128,25.000000000000000,0.001526464938420
298,834,16,98978129,25.000000000000000,0.001526818795380
299,837,4,98978134,25.000000000000000,0.001526464938420
300,838,2,98978135,25.000000000000000,0.001526475488720
301,841,1,98979833,25.000000000000000,0.001526396319840
302,842,2,98979834,25.000000000000000,0.001526367635180
303,843,1,98979837,25.000000000000000,0.001526368922190
304,844,1,98979839,25.000000000000000,0.001526373132420
305,845,4,98979840,25.000000000000000,0.001526399931790
306,846,3,98979841,25.000000000000000,0.001526373132420
307,847,42,98982098,25.000000000000000,0.001526296025090
308,850,7,98985382,25.000000000000000,0.001526311063150
309,851,8,98985383,25.000000000000000,0.001526318399500
310,852,8,98985384,25.000000000000000,0.001526318399500
311,853,5,98985385,25.000000000000000,0.001526332340110
312,854,6,98985806,25.000000000000000,0.001526318399500
313,855,6,98985809,25.000000000000000,0.001526318399500
314,856,1,98985811,25.000000000000000,0.001526315155400
315,858,4,98985976,25.000000000000000,0.001526337602280
