FID,Type
0,6
1,6
2,8
3,6
4,0
5,0
6,0
7,0
8,0
9,0
10,8
11,0
12,0
13,3
14,9
15,6
16,6
17,0
18,8
19,0
20,3
21,2
22,0
23,2
24,2
25,0
26,9
27,3
28,0
29,0
30,3
31,0
32,3
33,0
34,3
35,0
36,7
37,0
38,0
39,0
40,0
41,3
42,3
43,0
44,0
45,8
46,3
47,0
48,0
49,7
50,0
51,2
52,9
53,0
54,0
55,3
56,0
57,0
58,6
59,2
60,2
61,1
62,8
63,3
64,0
65,0
66,0
67,0
68,0
69,0
70,3
71,0
72,8
73,8
74,3
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,6
93,0
94,0
95,0
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,6
105,0
106,6
107,0
108,0
109,0
110,0
111,3
112,0
113,0
114,0
115,8
116,2
117,7
118,0
119,3
120,0
121,3
122,3
123,0
124,8
125,9
126,0
127,3
128,9
129,9
130,0
131,9
132,9
133,6
134,0
135,0
136,2
137,0
138,0
139,0
140,2
141,0
142,0
143,0
144,6
145,8
146,6
147,6
148,8
149,6
150,6
151,6
152,3
153,0
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,0
169,6
170,6
171,9
172,0
173,3
174,8
175,3
176,3
177,3
178,3
179,3
180,9
181,3
182,3
183,3
184,6
185,6
186,6
187,8
188,6
189,6
190,6
191,8
192,6
193,6
194,6
195,6
196,6
197,3
198,8
199,8
200,9
201,6
202,6
203,6
204,6
205,1
206,3
207,3
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,9
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,3
242,0
243,0
244,6
245,0
246,6
247,6
248,6
249,9
250,9
251,6
252,6
253,9
254,9
255,6
256,8
257,8
258,9
259,8
260,8
261,3
262,0
263,8
264,6
265,3
266,8
267,3
268,3
269,0
270,6
271,0
272,3
273,3
274,0
275,0
276,0
277,2
278,6
279,6
280,6
281,9
282,3
283,6
284,0
285,9
286,3
287,0
288,6
289,6
290,6
291,6
292,0
293,0
294,0
295,0
296,0
297,3
298,0
299,3
300,3
301,3
302,3
303,3
304,3
305,0
306,3
307,3
308,0
309,3
310,3
311,3
312,8
313,8
314,3
315,0
316,3
317,0
318,3
319,3
320,3
321,6
322,3
323,0
324,6
325,6
326,6
327,6
328,0
329,6
330,0
331,8
332,8
333,0
334,0
335,0
336,1
337,0
338,2
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,6
347,0
348,6
349,6
350,0
351,2
352,6
353,6
354,0
355,0
356,0
357,0
358,0
359,2
360,0
361,0
362,2
363,2
364,0
365,0
366,6
367,0
368,0
369,8
370,0
371,3
372,0
373,6
374,8
375,8
376,8
377,3
378,8
379,3
380,3
381,3
382,8
383,8
384,0
385,0
386,8
387,3
388,3
389,0
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,0
400,9
401,3
402,0
403,3
404,0
405,3
406,3
407,3
408,3
409,3
410,3
411,0
412,0
413,0
414,0
415,0
416,8
417,8
418,0
419,8
420,0
421,7
422,8
423,7
424,8
425,1
426,0
427,0
428,0
429,8
430,0
431,0
432,3
433,0
434,0
435,8
436,3
437,0
438,0
439,3
440,0
441,0
442,8
443,3
444,0
445,0
446,0
447,7
448,0
449,0
450,6
451,7
452,0
453,6
454,6
455,6
456,6
457,0
458,0
459,6
460,6
461,6
462,6
463,0
464,6
465,6
466,6
467,0
468,6
469,6
470,0
471,6
472,6
473,6
474,6
475,0
476,6
477,6
478,6
479,6
480,6
481,0
482,6
483,0
484,6
485,6
486,0
487,0
488,0
489,0
490,0
491,0
492,6
493,0
494,0
495,3
496,0
497,3
498,9
499,9
500,0
501,0
502,0
503,3
504,0
505,0
506,0
507,0
508,0
509,0
510,2
511,0
512,0
513,0
514,0
515,6
516,0
517,9
518,6
519,9
520,9
521,6
522,3
523,9
524,9
525,3
526,3
527,0
528,8
529,8
530,0
531,8
532,0
533,3
534,3
535,0
536,8
537,3
538,8
539,3
540,0
541,3
542,0
543,6
544,6
545,6
546,6
547,6
548,6
549,9
550,6
551,6
552,9
553,6
554,6
555,6
556,9
557,6
558,6
559,0
560,0
561,0
562,8
563,6
564,6
565,9
566,0
567,2
568,8
569,0
570,0
571,0
572,0
573,0
574,9
575,6
576,0
577,2
578,6
579,2
580,3
581,3
582,0
583,0
584,8
585,2
586,0
587,6
588,0
589,2
590,2
591,0
592,6
593,0
594,6
595,6
596,6
597,6
598,0
599,6
600,6
601,6
602,6
603,6
604,6
605,6
606,6
607,6
608,4
609,8
610,8
611,3
612,3
613,3
614,3
615,6
616,6
617,3
618,3
619,6
620,8
621,0
622,3
623,8
624,3
625,3
626,0
627,0
628,3
629,3
630,3
631,0
632,3
633,6
634,6
635,6
636,6
637,6
638,8
639,9
640,6
641,6
642,0
643,6
644,8
645,6
646,6
647,3
648,3
649,9
650,3
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,9
660,0
661,9
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,9
671,9
672,0
673,0
674,9
675,0
676,0
677,9
678,6
679,6
680,9
681,6
