FID,Type
0,6
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,3
14,0
15,3
16,6
17,0
18,0
19,2
20,3
21,0
22,0
23,0
24,0
25,0
26,3
27,3
28,0
29,8
30,3
31,3
32,0
33,0
34,0
35,0
36,0
37,0
38,6
39,0
40,0
41,0
42,3
43,8
44,8
45,8
46,6
47,3
48,0
49,0
50,0
51,0
52,6
53,0
54,0
55,0
56,0
57,6
58,0
59,0
60,0
61,0
62,0
63,3
64,0
65,0
66,3
67,3
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,3
97,3
98,3
99,3
100,3
101,3
102,8
103,8
104,3
105,8
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,3
115,0
116,0
117,2
118,0
119,3
120,0
121,0
122,0
123,0
124,3
125,3
126,6
127,6
128,0
129,0
130,0
131,0
132,6
133,6
134,6
135,6
136,0
137,0
138,0
139,0
140,2
141,0
142,0
143,0
144,4
145,3
146,3
147,8
148,8
149,8
150,8
151,3
152,3
153,3
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,8
163,8
164,0
165,0
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,3
174,3
175,0
176,0
177,0
178,3
179,3
180,3
181,3
182,3
183,3
184,6
185,6
186,0
187,0
188,6
189,8
190,6
191,8
192,8
193,8
194,6
195,6
196,6
197,0
198,8
199,8
200,3
201,6
202,6
203,0
204,8
205,0
206,3
207,3
208,6
209,6
210,6
211,3
212,3
213,6
214,6
215,6
216,6
217,0
218,3
219,3
220,6
221,6
222,6
223,6
224,0
225,6
226,3
227,3
228,6
229,6
230,6
231,6
232,6
233,6
234,0
235,0
236,0
237,0
238,3
239,0
240,0
241,3
242,0
243,3
244,0
245,0
246,0
247,3
248,6
249,6
250,6
251,8
252,8
253,8
254,8
255,6
256,6
257,6
258,0
259,8
260,8
261,3
262,3
263,6
264,0
265,0
266,0
267,0
268,0
269,0
270,3
271,3
272,3
273,3
274,3
275,3
276,0
277,0
278,6
279,6
280,6
281,6
282,6
283,0
284,0
285,0
286,0
287,0
288,6
289,6
290,6
291,6
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,3
300,3
301,3
302,0
303,3
304,3
305,0
306,3
307,3
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,3
316,3
317,3
318,0
319,0
320,3
321,8
322,8
323,3
324,3
325,6
326,6
327,8
328,8
329,8
330,6
331,6
332,6
333,8
334,0
335,2
336,0
337,0
338,2
339,0
340,0
341,0
342,0
343,0
344,6
345,6
346,6
347,6
348,6
349,6
350,0
351,0
352,6
353,6
354,0
355,6
356,6
357,0
