FID,Type
798,3
799,3
800,3
801,3
802,3
803,6
804,3
805,0
806,3
807,3
808,6
809,3
810,6
811,3
812,3
813,2
814,6
815,0
816,0
817,0
818,0
819,8
820,6
821,0
822,0
823,8
824,0
825,6
826,8
827,0
828,0
829,0
830,8
831,0
832,6
833,0
834,6
835,0
836,0
837,0
838,8
839,0
840,0
841,0
842,6
843,0
844,0
845,0
846,0
847,6
848,6
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,0
862,2
863,6
864,2
865,2
866,6
867,6
868,6
869,6
870,6
871,6
872,6
873,6
874,6
875,6
876,6
877,6
878,0
879,0
880,6
881,6
882,6
883,6
884,3
885,0
886,8
887,0
888,2
889,6
890,6
891,0
892,0
893,6
894,6
895,6
896,6
897,0
898,3
899,3
900,3
901,6
902,2
903,2
904,2
905,3
906,2
907,2
908,0
909,2
910,0
911,2
912,0
913,2
914,0
915,0
916,8
917,8
918,8
919,8
920,0
921,0
922,0
923,0
924,0
925,3
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,6
939,6
940,6
941,2
942,0
943,0
944,0
945,8
946,0
947,8
948,8
949,0
950,0
951,0
952,8
953,0
954,0
955,0
956,8
957,0
958,0
959,0
960,0
961,8
962,0
963,0
964,3
965,0
966,0
967,6
968,2
969,0
970,6
971,0
972,0
973,0
974,2
975,8
976,0
977,0
978,0
979,0
980,0
981,2
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,8
992,0
993,2
994,0
995,0
996,0
997,0
998,0
999,2
1000,2
1001,2
1002,2
1003,0
1004,0
1005,0
1006,0
1007,2
1008,2
1009,0
1010,6
1011,0
1012,3
1013,0
1014,0
1015,0
1016,6
1017,8
1018,8
1019,8
1020,0
1021,0
1022,6
1023,0
1024,0
1025,0
1026,8
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,6
1066,0
1067,0
1068,6
1069,0
1070,6
1071,0
1072,0
1073,2
1074,2
1075,0
1076,2
1077,2
1078,0
1079,0
1080,6
1081,0
1082,0
1083,0
1084,0
1085,6
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,6
1099,6
1100,6
1101,6
1102,6
1103,6
1104,8
1105,8
1106,8
1107,9
1108,0
1109,0
1110,8
1111,0
1112,2
1113,0
1114,0
1115,0
1116,0
1117,0
1118,6
1119,2
1120,2
1121,0
1122,0
1123,0
1124,0
1125,0
1126,2
1127,8
1128,0
1129,0
1130,8
1131,0
1132,0
1133,2
1134,0
1135,0
1136,0
1137,0
1138,6
1139,0
1140,2
1141,8
1142,6
1143,0
1144,0
1145,0
1146,0
1147,0
1148,2
1149,8
1150,8
1151,0
1152,2
1153,0
1154,6
1155,8
1156,0
1157,6
1158,0
1159,8
1160,0
1161,8
1162,0
1163,6
1164,0
1165,0
1166,0
1167,6
1168,0
1169,0
1170,0
1171,8
1172,0
1173,8
1174,6
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,6
1185,8
1186,6
1187,3
1188,8
1189,8
1190,3
1191,8
1192,9
1193,0
1194,0
1195,6
1196,0
1197,0
1198,0
1199,0
1200,6
1201,6
1202,6
1203,0
1204,0
1205,0
1206,8
1207,6
1208,0
1209,0
1210,0
1211,6
1212,6
1213,6
1214,6
1215,6
1216,6
1217,6
1218,6
1219,6
1220,6
1221,2
1222,2
1223,2
1224,6
1225,0
1226,6
1227,6
1228,6
1229,6
1230,6
1231,6
1232,6
1233,0
1234,6
1235,6
1236,8
1237,6
1238,6
1239,0
1240,6
1241,6
1242,0
1243,0
1244,6
1245,6
1246,8
1247,0
1248,0
1249,6
1250,6
1251,2
1252,8
1253,0
1254,2
1255,2
1256,0
1257,0
1258,0
1259,0
1260,0
1261,2
1262,0
1263,0
1264,6
1265,2
1266,6
1267,6
1268,6
1269,2
1270,0
1271,0
1272,0
1273,6
1274,6
1275,6
1276,8
1277,8
1278,8
1279,8
1280,6
1281,0
1282,0
1283,0
1284,2
1285,2
1286,6
1287,6
1288,6
1289,6
1290,6
1291,6
1292,0
1293,6
1294,6
1295,6
1296,6
1297,6
1298,6
1299,6
1300,6
1301,6
1302,2
1303,6
1304,6
1305,0
1306,3
1307,3
1308,9
1309,0
1310,0
1311,0
1312,0
1313,3
1314,3
1315,3
1316,3
1317,0
1318,3
1319,3
1320,3
1321,3
1322,6
1323,6
1324,6
1325,6
1326,8
1327,9
1328,0
1329,2
1330,2
1331,8
1332,8
1333,2
1334,3
1335,3
1336,3
1337,8
1338,3
1339,3
1340,3
1341,3
1342,3
1343,0
1344,0
1345,0
1346,0
1347,6
1348,8
1349,0
1350,8
1351,0
1352,0
1353,0
1354,0
1355,6
1356,6
1357,6
1358,6
1359,6
1360,8
1361,8
1362,6
1363,6
1364,6
1365,6
1366,6
1367,9
1368,8
1369,6
1370,9
1371,6
1372,6
1373,6
1374,9
1375,9
1376,8
1377,3
1378,3
1379,8
1380,3
1381,3
1382,3
1383,3
1384,3
1385,3
1386,6
1387,6
1388,6
1389,6
1390,6
1391,8
1392,6
1393,0
1394,6
1395,6
1396,8
1397,6
1398,3
1399,6
1400,6
1401,3
1402,8
1403,6
1404,6
1405,6
1406,0
1407,9
1408,9
1409,9
1410,9
1411,6
1412,9
1413,8
1414,0
1415,0
1416,2
1417,2
1418,0
1419,2
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,6
1437,6
1438,2
1439,2
1440,0
1441,2
1442,2
1443,2
1444,2
1445,2
1446,0
1447,0
1448,0
1449,0
1450,0
1451,2
1452,2
1453,2
1454,0
1455,2
1456,2
1457,2
1458,3
1459,2
1460,6
1461,0
1462,0
1463,2
1464,0
1465,0
1466,8
1467,8
1468,0
1469,0
1470,0
1471,8
1472,6
1473,6
1474,8
1475,0
1476,8
1477,7
1478,8
1479,8
1480,8
1481,8
1482,8
1483,8
1484,8
1485,8
1486,8
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,6
1499,2
1500,0
1501,2
1502,2
1503,2
1504,0
1505,0
1506,0
1507,0
1508,0
1509,3
1510,0
1511,3
1512,3
1513,3
1514,0
1515,0
1516,3
1517,0
1518,8
1519,0
1520,0
1521,8
1522,0
1523,0
1524,8
1525,0
1526,0
1527,0
1528,8
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,3
1537,0
1538,0
1539,6
1540,0
1541,0
1542,6
1543,6
1544,0
1545,7
1546,3
1547,0
1548,0
1549,0
1550,0
1551,2
1552,7
1553,7
1554,3
1555,3
1556,0
1557,8
1558,2
1559,0
1560,0
1561,0
1562,3
1563,0
1564,0
1565,0
1566,0
1567,0
1568,8
1569,0
1570,6
1571,3
1572,3
1573,3
1574,3
1575,9
1576,9
1577,9
1578,8
1579,3
1580,8
1581,8
1582,3
1583,8
1584,3
1585,8
1586,8
1587,8
1588,3
1589,3
1590,3
1591,8
1592,8
1593,0
1594,0
1595,0
1596,6
1597,6
1598,6
1599,0
1600,0
1601,6
1602,6
1603,0
1604,2
1605,2
1606,2
1607,0
1608,2
1609,0
1610,2
1611,0
1612,2
1613,0
1614,0
1615,3
1616,0
1617,2
1618,6
1619,0
1620,6
1621,2
1622,8
1623,2
1624,0
1625,2
1626,2
1627,6
1628,8
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,6
1636,0
1637,6
1638,0
1639,0
1640,6
1641,7
1642,9
1643,9
1644,9
1645,9
1646,9
1647,0
1648,0
1649,6
1650,0
1651,8
1652,8
1653,6
1654,6
1655,6
1656,6
1657,6
1658,6
1659,6
1660,6
1661,6
1662,6
1663,6
1664,6
1665,6
1666,6
1667,6
1668,6
1669,6
1670,6
1671,6
1672,0
1673,0
1674,3
1675,8
1676,0
1677,8
1678,6
1679,0
1680,8
1681,0
1682,8
1683,3
1684,8
1685,8
1686,2
1687,6
1688,8
1689,6
1690,6
1691,6
1692,6
1693,6
1694,6
1695,6
1696,6
1697,6
1698,0
1699,6
1700,0
1701,6
1702,6
1703,0
1704,6
1705,6
1706,6
1707,8
1708,6
1709,6
1710,6
1711,8
1712,6
1713,6
1714,8
1715,6
1716,6
1717,6
1718,6
1719,6
1720,8
1721,0
1722,0
1723,0
1724,6
1725,0
1726,9
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,8
1734,0
1735,8
1736,0
1737,6
1738,9
1739,6
1740,6
1741,2
1742,6
1743,3
1744,6
1745,3
1746,6
1747,6
1748,6
1749,9
1750,6
1751,6
1752,6
1753,6
1754,6
1755,9
1756,0
1757,0
1758,6
1759,6
1760,6
1761,6
1762,6
1763,3
1764,3
1765,3
1766,3
1767,3
1768,9
1769,8
1770,0
1771,2
1772,6
1773,2
1774,2
1775,0
1776,6
1777,0
1778,2
1779,2
1780,8
1781,6
1782,6
1783,2
1784,3
1785,8
1786,6
1787,8
1788,3
1789,8
1790,8
1791,8
1792,8
1793,8
1794,0
1795,0
1796,8
1797,8
1798,8
1799,0
1800,8
1801,6
1802,0
1803,0
1804,8
1805,8
1806,0
1807,6
1808,6
1809,6
1810,0
1811,0
1812,6
1813,6
1814,0
1815,8
1816,6
1817,6
1818,2
1819,8
1820,3
1821,3
1822,6
1823,8
1824,0
1825,8
1826,6
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,6
1834,0
1835,6
1836,7
1837,0
1838,7
1839,7
1840,3
1841,7
1842,6
1843,6
1844,7
1845,0
1846,0
1847,6
1848,0
1849,0
1850,0
1851,0
1852,3
1853,0
1854,3
1855,9
1856,3
1857,0
1858,0
1859,0
1860,6
1861,6
1862,0
1863,6
1864,0
1865,6
1866,8
1867,8
1868,8
1869,8
1870,8
1871,8
1872,8
1873,8
1874,0
1875,8
1876,8
1877,8
1878,8
1879,8
1880,8
1881,6
1882,8
1883,8
1884,3
1885,8
1886,8
1887,8
1888,0
1889,3
1890,8
1891,8
1892,3
1893,3
1894,3
1895,3
1896,8
1897,3
1898,3
1899,3
1900,3
1901,8
1902,8
1903,8
1904,3
1905,8
1906,8
1907,3
1908,3
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,6
1917,6
1918,6
1919,6
1920,6
1921,6
1922,9
1923,6
1924,3
1925,3
1926,3
1927,3
1928,6
1929,3
1930,6
1931,3
1932,6
1933,3
1934,3
1935,3
1936,3
1937,6
1938,3
1939,6
1940,9
1941,9
1942,6
1943,8
1944,3
1945,8
1946,3
1947,8
1948,8
1949,3
1950,8
1951,8
1952,8
1953,8
1954,8
1955,6
1956,6
1957,6
1958,6
1959,8
1960,8
1961,3
1962,6
1963,8
1964,8
1965,6
1966,6
1967,8
1968,6
1969,3
1970,3
1971,9
1972,6
1973,3
1974,3
1975,3
1976,6
1977,3
1978,3
1979,3
1980,3
1981,3
1982,3
1983,3
1984,9
1985,8
1986,6
1987,6
1988,8
1989,6
1990,6
1991,8
1992,8
1993,2
1994,0
1995,2
1996,0
1997,0
1998,8
1999,8
2000,0
2001,0
2002,2
2003,0
2004,8
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,2
2014,2
2015,2
2016,2
2017,2
2018,2
2019,2
2020,2
2021,2
2022,2
2023,0
2024,2
2025,2
2026,2
2027,6
2028,2
2029,2
2030,0
2031,8
2032,2
2033,0
2034,2
2035,2
2036,2
2037,2
2038,2
2039,2
2040,2
2041,2
2042,2
2043,2
2044,2
2045,2
2046,2
2047,2
2048,2
2049,0
2050,2
2051,2
2052,2
2053,2
2054,2
2055,0
2056,2
2057,2
2058,0
2059,2
2060,2
2061,0
2062,2
2063,0
2064,2
2065,2
2066,2
2067,2
2068,2
2069,0
2070,0
2071,2
2072,0
2073,2
2074,2
2075,2
2076,2
2077,2
2078,2
2079,2
2080,2
2081,2
2082,0
2083,2
2084,2
2085,2
2086,2
2087,2
2088,2
2089,2
2090,2
2091,2
2092,2
2093,2
2094,0
2095,2
2096,2
2097,2
2098,2
2099,2
2100,2
2101,2
2102,2
2103,2
2104,2
2105,0
2106,2
2107,2
2108,2
2109,2
2110,2
2111,0
2112,2
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,2
2125,0
2126,2
2127,2
2128,2
2129,2
2130,2
2131,2
2132,2
2133,2
2134,2
2135,2
2136,2
2137,2
2138,2
2139,0
2140,2
2141,2
2142,2
2143,0
2144,0
2145,2
2146,0
2147,0
2148,2
2149,0
2150,0
2151,0
2152,0
2153,0
2154,2
2155,0
2156,0
2157,0
2158,0
2159,0
2160,2
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,6
2176,6
2177,6
2178,0
2179,6
2180,6
2181,0
2182,0
2183,0
2184,0
2185,2
2186,2
2187,0
2188,0
2189,0
2190,0
2191,0
2192,2
2193,6
2194,2
2195,6
2196,7
2197,0
2198,0
2199,6
2200,6
2201,0
2202,6
2203,6
2204,2
2205,2
2206,0
2207,3
2208,2
2209,2
2210,2
2211,2
2212,0
2213,0
2214,8
2215,2
2216,0
2217,0
2218,2
2219,2
2220,2
2221,2
2222,2
2223,2
2224,2
2225,2
2226,2
2227,2
2228,2
2229,6
2230,2
2231,2
2232,2
2233,2
2234,2
2235,2
2236,2
2237,2
2238,2
2239,2
2240,2
2241,2
2242,6
2243,2
2244,2
2245,6
2246,0
2247,2
2248,7
2249,7
2250,0
2251,0
2252,0
2253,0
2254,7
2255,2
2256,2
2257,8
2258,8
2259,2
2260,0
2261,0
2262,0
2263,8
2264,3
2265,0
2266,0
2267,0
2268,0
2269,0
2270,3
2271,0
2272,0
2273,3
2274,2
2275,7
2276,8
2277,6
2278,7
2279,0
2280,2
2281,0
2282,0
2283,0
2284,0
2285,0
2286,6
2287,0
2288,0
2289,0
2290,8
2291,8
2292,8
2293,8
2294,3
2295,0
2296,3
2297,0
2298,6
2299,6
2300,6
2301,6
2302,6
2303,0
2304,0
2305,6
2306,6
2307,0
2308,0
2309,2
2310,6
2311,2
2312,2
2313,2
2314,3
2315,2
2316,2
2317,2
2318,2
2319,0
2320,2
2321,2
2322,0
2323,6
2324,6
2325,0
2326,6
2327,6
2328,0
2329,0
2330,3
2331,3
2332,3
2333,0
2334,3
2335,0
2336,0
2337,0
2338,0
2339,0
2340,0
2341,2
2342,8
2343,0
2344,2
2345,6
2346,0
2347,8
2348,0
2349,0
2350,2
2351,8
2352,1
2353,0
2354,0
2355,2
2356,3
2357,3
2358,3
2359,2
2360,6
2361,0
2362,0
2363,2
2364,0
2365,2
2366,0
2367,0
2368,0
2369,2
2370,2
2371,2
2372,0
2373,0
2374,3
2375,0
2376,0
2377,0
2378,3
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,3
2389,3
2390,6
2391,6
2392,3
2393,8
2394,3
2395,6
2396,0
2397,8
2398,0
2399,8
2400,6
2401,0
2402,3
2403,8
2404,6
2405,0
2406,3
2407,6
2408,3
2409,8
2410,3
2411,3
2412,3
2413,6
2414,3
2415,3
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,3
2423,0
2424,0
2425,8
2426,6
2427,3
2428,3
2429,6
2430,0
2431,0
2432,6
2433,6
2434,8
2435,0
2436,8
2437,8
2438,0
2439,3
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,0
2447,3
2448,3
2449,1
2450,2
2451,8
2452,1
2453,0
2454,2
2455,8
2456,3
2457,9
2458,9
2459,8
2460,9
2461,8
2462,3
2463,8
2464,3
2465,8
2466,6
2467,6
2468,6
2469,6
2470,6
2471,6
2472,6
2473,6
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,0
2491,0
2492,0
2493,8
2494,3
2495,0
2496,0
2497,3
2498,0
2499,6
2500,2
2501,6
2502,6
2503,6
2504,8
2505,0
2506,0
2507,6
2508,1
2509,1
2510,8
2511,3
2512,6
2513,0
2514,8
2515,9
2516,3
2517,6
2518,3
2519,0
2520,3
2521,0
2522,0
2523,0
2524,3
2525,3
2526,8
2527,3
2528,6
2529,3
2530,6
2531,6
2532,3
2533,6
2534,3
2535,3
2536,3
2537,3
2538,0
2539,3
2540,3
2541,3
2542,3
2543,6
2544,3
2545,2
2546,2
2547,6
2548,6
2549,6
2550,6
2551,6
2552,6
2553,6
2554,6
2555,0
2556,0
2557,0
2558,0
2559,6
2560,6
2561,0
2562,6
2563,0
2564,3
2565,8
2566,3
2567,6
2568,0
2569,6
2570,0
2571,0
2572,8
2573,6
2574,8
2575,3
2576,3
2577,6
2578,3
2579,0
2580,0
2581,0
2582,0
2583,0
2584,0
2585,0
2586,8
2587,3
2588,0
2589,3
2590,3
2591,0
2592,0
2593,0
2594,2
2595,0
2596,2
2597,6
2598,6
2599,6
2600,0
2601,6
2602,0
2603,0
2604,6
2605,6
2606,6
2607,6
2608,3
2609,8
2610,8
2611,8
2612,8
2613,3
2614,3
2615,9
2616,0
2617,6
2618,0
2619,0
2620,0
2621,0
2622,0
2623,0
2624,6
2625,8
2626,0
2627,3
2628,3
2629,0
2630,8
2631,0
2632,0
2633,0
2634,8
2635,0
2636,0
2637,3
2638,8
2639,3
2640,0
2641,8
2642,3
2643,0
2644,3
2645,8
2646,8
2647,3
2648,0
2649,0
2650,8
2651,0
2652,0
2653,0
2654,0
2655,8
2656,3
2657,3
2658,6
2659,0
2660,6
2661,3
2662,0
2663,0
2664,3
2665,0
2666,0
2667,0
2668,8
2669,8
2670,6
2671,3
2672,3
2673,0
2674,2
2675,8
2676,8
2677,2
2678,8
2679,0
2680,2
2681,0
2682,2
2683,8
2684,3
2685,3
2686,3
2687,3
2688,3
2689,3
2690,6
2691,3
2692,3
2693,3
2694,7
2695,8
2696,6
2697,3
2698,3
2699,3
2700,0
2701,0
2702,8
2703,8
2704,0
2705,2
2706,0
2707,2
2708,2
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,2
2717,2
2718,2
2719,2
2720,0
2721,0
2722,0
2723,6
2724,0
2725,0
2726,7
2727,2
2728,7
2729,6
2730,0
2731,0
2732,0
2733,0
2734,2
2735,2
2736,0
2737,0
2738,6
2739,2
2740,2
2741,0
2742,8
2743,0
2744,0
2745,0
2746,0
2747,2
2748,0
2749,6
2750,0
2751,6
2752,6
2753,2
2754,0
2755,6
2756,6
2757,2
2758,6
2759,6
2760,7
2761,0
2762,0
2763,0
2764,0
2765,0
2766,2
2767,2
2768,0
2769,0
2770,6
2771,0
2772,0
2773,0
2774,2
2775,2
2776,0
2777,6
2778,6
2779,2
2780,2
2781,0
2782,0
2783,0
2784,6
2785,8
2786,0
2787,6
2788,6
2789,0
2790,2
2791,6
2792,8
2793,0
2794,6
2795,2
2796,8
2797,8
2798,8
2799,0
2800,8
2801,8
2802,0
2803,8
2804,8
2805,8
2806,2
2807,0
2808,6
2809,6
2810,8
2811,6
2812,0
2813,0
2814,0
2815,3
2816,6
2817,0
2818,2
2819,6
2820,6
2821,8
2822,0
2823,8
2824,0
2825,0
2826,2
2827,2
2828,2
2829,0
2830,2
2831,0
2832,0
2833,0
2834,0
2835,0
2836,0
2837,0
2838,0
2839,8
2840,0
2841,8
2842,0
2843,0
2844,8
2845,2
2846,2
2847,6
2848,6
2849,2
2850,0
2851,0
2852,2
2853,0
2854,2
2855,2
2856,2
2857,2
2858,0
2859,2
2860,2
2861,2
2862,2
2863,2
2864,2
2865,2
2866,0
2867,0
2868,2
2869,0
2870,0
2871,7
2872,0
2873,8
2874,2
2875,0
2876,0
2877,0
2878,0
2879,0
2880,6
2881,8
2882,0
2883,6
2884,0
2885,0
2886,8
2887,0
2888,0
2889,0
2890,0
2891,6
2892,0
2893,0
2894,0
2895,8
2896,0
2897,6
2898,6
2899,2
2900,0
2901,9
2902,0
2903,0
2904,6
2905,0
2906,0
2907,0
2908,0
2909,0
2910,0
2911,0
2912,0
2913,0
2914,2
2915,6
2916,6
2917,8
2918,8
2919,2
2920,8
2921,6
2922,6
2923,6
2924,8
2925,8
2926,6
2927,6
2928,8
2929,8
2930,0
2931,2
2932,0
2933,2
2934,2
2935,2
2936,2
2937,2
2938,6
2939,2
2940,6
2941,8
2942,8
2943,8
2944,6
2945,6
2946,0
2947,2
2948,2
2949,0
2950,0
2951,8
2952,8
2953,2
2954,7
2955,0
2956,2
2957,2
2958,6
2959,2
2960,0
2961,2
2962,8
2963,8
2964,0
2965,6
2966,7
2967,2
2968,8
2969,6
2970,6
2971,0
2972,0
2973,8
2974,8
2975,0
2976,2
2977,6
2978,6
2979,2
2980,2
2981,6
2982,6
2983,6
2984,2
2985,2
2986,2
2987,8
2988,2
2989,7
2990,6
2991,6
2992,3
2993,0
2994,8
2995,0
2996,0
